département;Ville;longitude;Latitude
1;SAINT-ETIENNE-SUR-REYSSOUZE;5;46.4
1;SOUCLIN;5.41667;45.8667
1;SAINT-JUST;5.28;46.1903
1;CIVRIEUX;4.88333;45.9167
1;ARGIS;5.48333;45.9333
1;TALISSIEU;5.71667;45.8667
1;BIRIEUX;5.03333;45.95
1;SAINT-JULIEN-SUR-VEYLE;4.95;46.2
1;THOIRY;5.97973;46.2364
1;LAIZ;4.88333;46.25
1;CRESSIN-ROCHEFORT;5.76667;45.7667
1;SAINT-CHAMP;5.73333;45.7833
1;SAINT-GEORGES-SUR-RENON;5.03333;46.1
1;LANTENAY;5.53333;46.05
1;VERNOUX;5.11667;46.4833
1;CORMARANCHE-EN-BUGEY;5.6;45.95
1;SAINTE-EUPHEMIE;4.78333;45.9667
1;BEAUPONT;5.26667;46.4
1;BRENS;5.69473;45.7187
1;RAMASSE;5.35;46.2
1;DIVONNE-LES-BAINS;6.13333;46.3667
1;LEAZ;5.88333;46.1
1;VILLES;5.78333;46.0833
1;SAINT-JULIEN-SUR-REYSSOUZE;5.11667;46.4
1;GROSLEE;5.56667;45.7167
1;VANDEINS;5.08333;46.2167
1;VERJON;5.35;46.35
1;SAINT-ANDRE-SUR-VIEUX-JONC;5.06667;46.15
1;SAINT-ANDRE-D'HUIRIAT;4.91667;46.2167
1;GRILLY;6.11667;46.3333
1;CESSY;6.06667;46.3167
1;ORDONNAZ;5.53333;45.8333
1;VESCOURS;5.03333;46.4667
1;MEILLONNAS;5.35;46.25
1;GEOVREISSET;5.6;46.25
1;CEYZERIEU;5.73333;45.8333
1;BEARD-GEOVREISSIAT;5.56667;46.2
1;LA BURBANCHE;5.56667;45.85
1;PERREX;4.98333;46.2333
1;VILLEMOTIER;5.31667;46.35
1;JASSERON;5.33333;46.2167
1;CORVEISSIAT;5.48333;46.2333
1;JOURNANS;5.33333;46.15
1;SERMOYER;4.98333;46.5
1;CHARIX;5.68333;46.1833
1;ARBIGNIEU;5.65;45.7333
1;LEYSSARD;5.46667;46.1667
1;SAINT-JEAN-DE-THURIGNEUX;4.88333;45.95
1;FRANS;4.78333;45.9833
1;TENAY;5.5;45.9167
1;BAGE-LA-VILLE;4.95;46.3167
1;MONTMERLE-SUR-SAONE;4.76667;46.0833
1;COURMANGOUX;5.36667;46.3333
1;BANEINS;4.9;46.1167
1;LAGNIEU;5.35;45.9
1;ATTIGNAT;5.16667;46.2833
1;SAINT-ANDRE-DE-BAGE;4.91667;46.3
1;PONT-DE-VAUX;4.93333;46.4333
1;AMBERIEU-EN-BUGEY;5.35;45.95
1;PEYZIEUX-SUR-SAONE;4.81667;46.1167
1;CROZET;6.01251;46.2806
1;SEYSSEL;5.83194;45.9597
1;BEYNOST;5;45.8333
1;VERSONNEX;6.09723;46.3023
1;SAINT-LAURENT-SUR-SAONE;4.83333;46.3
1;ARTEMARE;5.7;45.8667
1;MONTRACOL;5.11667;46.1833
1;PARVES;5.75;45.75
1;PUGIEU;5.65;45.8167
1;VIRIEU-LE-GRAND;5.65;45.85
1;SAINT-REMY;5.16667;46.1833
1;RANCE;4.86667;45.9667
1;GRIEGES;4.85;46.25
1;GRAND-CORENT;5.43333;46.2
1;OUTRIAZ;5.55;46.0667
1;MONTAGNIEU;5.46667;45.8
1;CHAMPAGNE-EN-VALROMEY;5.68333;45.9
1;AMBERIEUX-EN-DOMBES;4.9;46
1;LA BOISSE;5.03333;45.85
1;PARCIEUX;4.81667;45.9167
1;SAINT-DIDIER-D'AUSSIAT;5.06667;46.3
1;SAINT-NIZIER-LE-BOUCHOUX;5.15;46.45
1;ARS-SUR-FORMANS;4.81667;45.9833
1;ANGLEFORT;5.80833;45.9167
1;CORLIER;5.5;46.0333
1;FERNEY-VOLTAIRE;6.11667;46.25
1;SAINT-MAURICE-DE-REMENS;5.28333;45.95
1;CHATILLON-LA-PALUD;5.25;45.9667
1;SAINT-SULPICE;5.04167;46.3203
1;SAINT-BOIS;5.63333;45.7
1;VIRIGNIN;5.71667;45.7167
1;PREMILLIEU;5.56667;45.8667
1;GENOUILLEUX;4.78333;46.1167
1;REYSSOUZE;4.91667;46.4333
1;COLLONGES;5.9;46.1333
1;SAINT-GERMAIN-DE-JOUX;5.73333;46.1833
1;BREGNIER-CORDON;5.61667;45.65
1;SAINT-MARTIN-LE-CHATEL;5.11667;46.2833
1;MARIGNIEU;5.71667;45.8
1;LES NEYROLLES;5.63333;46.1333
1;SULIGNAT;4.96667;46.1667
1;BENY;5.28333;46.3333
1;INJOUX-GENISSIAT;5.78333;46.05
1;CHANAY;5.78333;46
1;CHATILLON-SUR-CHALARONNE;4.96667;46.1167
1;FARGES;5.91667;46.1667
1;SAINT-ALBAN;5.45;46.1
1;CURTAFOND;5.08333;46.2667
1;VIRIAT;5.21667;46.25
1;BELLEYDOUX;5.76667;46.25
1;BAGE-LE-CHATEL;4.93333;46.3
1;SAINTE-OLIVE;4.93333;46.0167
